Carrera,Estudiantes femeninos,Estudiantes masculinos,Cuatrimestre,Año,,,,
Tecnólogo en Manufactura Automatizada,6,35,Enero - Abril,2022,,,,
Tecnólogo en Mecatrónica,33,381,Enero - Abril,2022,,,,
Tecnólogo en Multimedia,320,455,Enero - Abril,2022,,,,
Tecnólogo en Redes de Información,27,229,Enero - Abril,2022,,,,
Tecnólogo en Sonido,114,655,Enero - Abril,2022,,,,
Tecnólogo en Seguridad Informática,12,98,Enero - Abril,2022,,,,
Tecnólogo en Desarrollo de Simulaciones Interactivas y Videojuegos,12,67,Mayo - Agosto,2022,,,,
Tecnólogo en Energías Renovables,7,32,Mayo - Agosto,2022,,,,
Tecnólogo en Analítica y Ciencia de los Datos,17,66,Mayo - Agosto,2022,,,,
Tecnólogo en Diseño Industrial,38,38,Mayo - Agosto,2022,,,,
Tecnólogo en Dispositivos Médicos,16,17,Mayo - Agosto,2022,,,,
Tecnólogo en Desarrollo de Software,240,1616,Mayo - Agosto,2022,,,,
Tecnólogo en Telecomunicaciones,4,30,Mayo - Agosto,2022,,,,
Tecnólogo en Inteligencia Artificial,9,30,Mayo - Agosto,2022,,,,
Tecnólogo en Informática Forense,8,32,Mayo - Agosto,2022,,,,
Tecnólogo en Manufactura Automatizada,5,40,Mayo - Agosto,2022,,,,
Tecnólogo en Mecatrónica,31,332,Mayo - Agosto,2022,,,,
Tecnólogo en Multimedia,315,439,Mayo - Agosto,2022,,,,
Tecnólogo en Redes de Información,26,213,Mayo - Agosto,2022,,,,
Tecnólogo en Sonido,106,666,Mayo - Agosto,2022,,,,
Tecnólogo en Seguridad Informática,12,89,Mayo - Agosto,2022,,,,
Tecnólogo en Analítica y Ciencia de los Datos,30,84,Septiembre- Diciembre,2022,,,,
Tecnólogo en Desarrollo de Simulaciones Interactivas y Videojuegos,14,92,Septiembre- Diciembre,2022,,,,
Tecnólogo en Desarrollo de Software,247,1628,Septiembre- Diciembre,2022,,,,
Tecnólogo en Diseño Industrial,37,41,Septiembre- Diciembre,2022,,,,
Tecnólogo en Manufactura de Dispositivos Médicos ,16,21,Septiembre- Diciembre,2022,,,,
Tecnólogo en Energías Renovables,7,27,Septiembre- Diciembre,2022,,,,
Tecnólogo en Informática Forense,16,40,Septiembre- Diciembre,2022,,,,
Tecnólogo en Inteligencia Artificial,12,32,Septiembre- Diciembre,2022,,,,
Tecnólogo en Manufactura Automatizada,4,40,Septiembre- Diciembre,2022,,,,
Tecnólogo en Mecatrónica,33,321,Septiembre- Diciembre,2022,,,,
Tecnólogo en Multimedia,345,448,Septiembre- Diciembre,2022,,,,
Tecnólogo en Redes de Información,26,179,Septiembre- Diciembre,2022,,,,
Tecnólogo en Seguridad Informática,119,732,Septiembre- Diciembre,2022,,,,
Tecnólogo en Sonido,13,105,Septiembre- Diciembre,2022,,,,
Tecnólogo en Telecomunicaciones,5,40,Septiembre- Diciembre,2022,,,,
